direction, next, type, time, seconds spent
start, 1-1, b, 8/8/2016 12:40:49 PM, 1.15
down, 2-3, b, 8/8/2016 12:40:50 PM, 1.00
down, 3-4, b, 8/8/2016 12:40:51 PM, 1.20
left, 4-2, b, 8/8/2016 12:40:53 PM, 3.24
down, 4-1, v, 8/8/2016 12:40:56 PM, 2.48
left, 4-4, p, 8/8/2016 12:40:58 PM, 4.09
right, 5-1, p, 8/8/2016 12:41:02 PM, 20.94
up, 6-3, p, 8/8/2016 12:41:23 PM, 0.43
up, 6-2, t, 8/8/2016 12:41:24 PM, 0.69
up, 6-1, v, 8/8/2016 12:41:25 PM, 0.24
up, 7-2, p, 8/8/2016 12:41:25 PM, 0.22
up, 8-3, p, 8/8/2016 12:41:25 PM, 0.35
